,ols,ols__decile,ols__neutral,ols__neutral__decile,ridge,ridge__decile,ridge__neutral,ridge__neutral__decile,gbm,gbm__decile,gbm__neutral,gbm__neutral__decile,composite,composite__decile,composite__neutral,composite__neutral__decile
days,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
gross_return_max_drawdown,-0.2770555349967124,-0.3740158765367657,-0.14084061829098027,-0.2150769333713093,-0.27710721404338623,-0.373872933977612,-0.14075324275443613,-0.21580542253385826,-0.1309203986953169,-0.14517549593568657,-0.07151954392914905,-0.09400969186718244,-0.21743888279406776,-0.3137082486589404,-0.1155566859342736,-0.1612351977191745
gross_return_market_beta,-0.22214422335416736,-0.32964380914085506,-0.05442220774653084,-0.07478240563824018,-0.22226006707143206,-0.32987285033602187,-0.054417266423014476,-0.07475778374436179,-0.07341612435323441,-0.13582941474825458,0.019944790402408805,-0.005491478324482796,-0.18857610513508208,-0.2704739233388408,-0.041230509400295275,-0.055655963938039635
net_return_1bp_annualised_return,-0.0004081296285209423,-0.0027003336489513615,0.0011243125428482975,0.0035569240815230105,-0.0003790180336003031,-0.002699806649575277,0.001147843919320371,0.003574558112820837,0.004684796518194891,0.01610948651370239,0.001184238475495795,0.010232850080617585,0.02194032057394349,0.030857804280701742,0.01274834198423872,0.025371659455105004
net_return_1bp_annualised_volatility,0.07255423627030819,0.1102302443883601,0.0325330944402819,0.052313808591048894,0.0725896301499122,0.11025702431185111,0.03252229574389508,0.05229237175963761,0.034272176424275616,0.06183913438279342,0.02154812438445505,0.032436146693181046,0.08279071333886927,0.11456318324607964,0.04116050343132034,0.0584489985476232
net_return_1bp_sharpe,-0.00562516607576729,-0.02449721184902414,0.03455904094558536,0.06799206896459103,-0.0052213798695151725,-0.024486482076091047,0.0352940619063105,0.06835716171473975,0.13669387260963572,0.2605063391408793,0.054957844792751995,0.315476748129543,0.26500943993730236,0.2693518406731047,0.3097226933949039,0.4340820216865244
net_return_1bp_hit_rate,0.48986083499005967,0.4906560636182903,0.4831013916500994,0.47912524850894633,0.48986083499005967,0.49025844930417495,0.4831013916500994,0.48031809145129223,0.48986083499005967,0.510934393638171,0.4918489065606362,0.5149105367793241,0.530417495029821,0.5288270377733598,0.5347912524850894,0.5387673956262425
net_return_1bp_max_drawdown,-0.27797829148668773,-0.38010068122378804,-0.1424936939229854,-0.21729990000173016,-0.2780298087822508,-0.3799594581152176,-0.14240658496060155,-0.2180259871376028,-0.13213166458432746,-0.1469260248586879,-0.07516448105205087,-0.0951439024476004,-0.21901767031476482,-0.3158119443370062,-0.11651846671157617,-0.16261681184229448
net_return_1bp_market_beta,-0.2221446560465301,-0.3296450155044183,-0.054422391483770594,-0.0747825083985918,-0.2222604976163038,-0.32987409786780975,-0.05441744938283705,-0.07475785326627368,-0.0734170078652111,-0.1358301120358926,0.01994423778542796,-0.0054923365695241306,-0.18857719157304115,-0.2704748277362914,-0.0412317456849065,-0.05565730689674895
net_return_5bp_annualised_return,-0.005643841937995191,-0.010756331662278677,-0.004671797430979691,-0.004982818427064633,-0.005614687529671748,-0.010756041824847863,-0.004648872783233103,-0.004964966218300452,-0.0010160813156048633,0.007787033954869887,-0.004402269697038195,0.00198586705613902,0.01680916993339889,0.023001390470745755,0.007604942353717879,0.017483978571534414
net_return_5bp_annualised_volatility,0.07255502389223661,0.11023115285830475,0.03253296491413959,0.05231340729626824,0.07259041884572047,0.11025795232147245,0.03252216657708912,0.05229195721918531,0.034274109453446805,0.06184168299022939,0.02154969282605723,0.032438590829545734,0.08279218259443626,0.11456434219307668,0.04116132654151967,0.05845045681487822
net_return_5bp_sharpe,-0.07778705918942,-0.09757978015620745,-0.1436019570706025,-0.09524935737497033,-0.0773475014878325,-0.09755343354724312,-0.14294474423201844,-0.09494703358471471,-0.029645739358595654,0.12591885567053848,-0.2042845683496289,0.06121927634199978,0.2030284672616964,0.20077268398208262,0.18475940871455468,0.2991247549511704
net_return_5bp_hit_rate,0.4882703777335984,0.4886679920477137,0.47634194831013915,0.47554671968190854,0.4882703777335984,0.48906560636182905,0.4767395626242545,0.47634194831013915,0.4870775347912525,0.504572564612326,0.4815109343936382,0.5081510934393638,0.5284294234592445,0.5256461232604374,0.5320079522862823,0.5343936381709742
net_return_5bp_max_drawdown,-0.28165760877774004,-0.4038546171675552,-0.1491158165694907,-0.22612918948838068,-0.28170848233778856,-0.40372007502574503,-0.14905860841538054,-0.22684574564781268,-0.13695994534358846,-0.15389252596372183,-0.09542987456395158,-0.10630342667181425,-0.22530112447707762,-0.324162618649963,-0.1203551990304863,-0.16812066703106054
net_return_5bp_market_beta,-0.222146386815981,-0.3296498409586717,-0.05442312643272968,-0.07478291943999837,-0.2222622197957909,-0.3298790879949613,-0.05441818122212728,-0.07475813135392122,-0.07342054191311792,-0.1358329011864446,0.01994202731750459,-0.005495769549689479,-0.1885815373248773,-0.2704784453260943,-0.04123669082335137,-0.05566267873158629
net_return_10bp_annualised_return,-0.012188482324837989,-0.02082632917893782,-0.011916934898264673,-0.0156574965627992,-0.01215927439976106,-0.02082633579393861,-0.011894768661424937,-0.015639371632202064,-0.008142178607854551,-0.0026160317436707517,-0.011385404912705684,-0.00832286172445918,0.010395231632718112,0.013180873208300772,0.0011756928155668364,0.007624377467071194
net_return_10bp_annualised_volatility,0.07255606254177872,0.11023236533310386,0.03253288058143711,0.05231300208865356,0.072591458863632,0.11025918920120788,0.032522082767221364,0.052291535594427396,0.034276574685750925,0.061844921249504636,0.0215517133799996,0.03244173038021414,0.08279405582941238,0.11456583106935635,0.04116240508528739,0.05845233629487693
net_return_10bp_sharpe,-0.1679870971198265,-0.18893116478090735,-0.36630432612427016,-0.29930411059691864,-0.1675028245761404,-0.18888526158063262,-0.3657443696506898,-0.29908036653390463,-0.23754353177067392,-0.042299863769196824,-0.5282830516515479,-0.25654802092601087,0.1255552893088882,0.11505064891748816,0.028562296423905086,0.1304375145692754
net_return_10bp_hit_rate,0.48389662027833,0.4882703777335984,0.47037773359840956,0.4691848906560636,0.48389662027833,0.48747514910536777,0.47037773359840956,0.47077534791252484,0.48469184890656064,0.4970178926441352,0.468389662027833,0.49662027833001987,0.5268389662027833,0.5232604373757456,0.5236580516898608,0.5260437375745527
net_return_10bp_max_drawdown,-0.2987705834429112,-0.4322721367997877,-0.17670426618316726,-0.2708262287848324,-0.298808968261315,-0.43214551935239887,-0.17658437706705643,-0.27105929428828834,-0.14897831061580846,-0.18541831908729,-0.137300042483688,-0.15280682030744164,-0.23308460175727141,-0.3344581765738709,-0.12512781884181867,-0.17494990869303795
net_return_10bp_market_beta,-0.22214855027779443,-0.32965587277648833,-0.05442404511892852,-0.07478343324175661,-0.22226437252014994,-0.3298853256539009,-0.05441909602124007,-0.07475847896348067,-0.07342495947300139,-0.1358363876246346,0.019939264232600406,-0.005500060774896157,-0.18858696951467255,-0.2704829673133478,-0.04124287224640743,-0.05566939352513294
