,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
gross_return_annualised_volatility,0.07692778172658914,0.03401968682584258,0.09879230763294156,0.013325536697569501,0.04921630340680834,0.09744688357271217,0.08217680876383368,0.06803233166416245,0.026236910252617436,0.07396984385299216,0.013378194621642123,0.04379698401053223,0.08487891482830084,0.11343100228218093
gross_return_sharpe,-0.0056239075534855,0.3225856390347641,0.08052311498236082,0.4296419854762193,-0.052381512775385254,0.016750558033818926,0.12061975649717374,0.0356754151708804,0.40429941325091345,0.024486533921046827,0.6044051643139049,-0.01684571295233872,0.008248968576152893,0.14729734344373263
gross_return_hit_rate,0.5268411712511092,0.4906832298136646,0.4953416149068323,0.5113132209405501,0.5135314995563443,0.5226264418811003,0.5277284826974268,0.5232919254658385,0.5015527950310559,0.49157054125998223,0.5124223602484472,0.5150842945874001,0.5237355811889973,0.5259538598047915
gross_return_max_drawdown,-0.31301205035004886,-0.08259806745803289,-0.37898140173086725,-0.048779539539640204,-0.20224293681844618,-0.4359496798856901,-0.3250550291288853,-0.2804878963018065,-0.07005057932044034,-0.3274625926577289,-0.046389403012652486,-0.19552397977358893,-0.41142478892594614,-0.41111240117061254
gross_return_market_beta,-0.11143217367113221,0.04683361056433847,-0.3395725552819513,0.0035363678155457055,-0.056040373568053525,-0.27918853031820295,-0.22536750706429243,-0.13424030777775947,-0.003884494640497844,-0.2669249601300102,0.005877175818399777,-0.08414792258887423,-0.23336552094900206,-0.3146818379581906
net_return_1bp_annualised_return,-0.001243611456162493,0.009258330770118702,0.006931352255573244,0.003911219576348848,-0.003479838778081384,0.000917924183597305,0.008774820744994808,0.0017258521568578428,0.009196254014426914,0.0009466480097810539,0.006663138321705255,-0.0015120894131174683,0.00017460213272255129,0.015050061684431858
net_return_1bp_annualised_volatility,0.07693631509482185,0.03402359473001662,0.09880325092979392,0.013327070740443326,0.049221780648638885,0.09745752542053336,0.08218586330240275,0.0680399377680863,0.02623985880721723,0.0739780379729337,0.013379747955978898,0.0438018792594831,0.08488842764602209,0.11344344873109231
net_return_1bp_sharpe,-0.016164167137843514,0.27211500852820614,0.07015307887488861,0.2934793138359781,-0.07069713310295717,0.009418710147178716,0.10676800598550469,0.02536528123732857,0.35046888331188353,0.012796338423133139,0.4980017817695702,-0.03452110819629049,0.002056842582249587,0.13266576301031455
net_return_1bp_hit_rate,0.5263975155279503,0.4866903283052351,0.49489795918367346,0.5044365572315883,0.5124223602484472,0.5217391304347826,0.5272848269742679,0.5228482697426797,0.4993345164152618,0.49112688553682343,0.5088731144631766,0.5130878438331854,0.5235137533274179,0.524622892635315
net_return_1bp_max_drawdown,-0.31520413201426445,-0.08296022464127772,-0.3866709161755695,-0.06287554183350752,-0.20709408375541027,-0.4411018577715503,-0.326706612411201,-0.2807218702969817,-0.0701817233961246,-0.33467595737986133,-0.049313784296408314,-0.1991806122063805,-0.4121745163417294,-0.41316998084177947
net_return_1bp_market_beta,-0.11144523644952814,0.04683852165170897,-0.3396090299823242,0.003536936392110988,-0.05604635804747769,-0.27921954124007414,-0.22539262158228676,-0.1342557402163476,-0.003885446687861611,-0.2669529638363029,0.005878814675280396,-0.08415672171636643,-0.23339140987858586,-0.31471653770756003
net_return_5bp_annualised_return,-0.0044904597630446765,0.0023959764566997086,0.0028585300606947164,-0.0033404157856960284,-0.007074575565428558,-0.0019417867056557908,0.004237454827489401,-0.0010754570246361617,0.003547913039435314,-0.0024834945765777007,0.000985549465543615,-0.004592760076268922,-0.0019218192870774052,0.00843234645700499
net_return_5bp_annualised_volatility,0.07693631283440848,0.03402414668205182,0.09880319356082773,0.013327309267002978,0.04922186040139919,0.09745685391647999,0.08218561917637973,0.06804017589753393,0.02624002904763336,0.07397801722965683,0.013380069025099571,0.043802045483945916,0.08488881663185989,0.11344289997951026
