,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
factor,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
hypothesised_sign,1,1,-1,1,1,1
first_date,2006-01-03,2006-01-03,2006-01-03,2006-01-03,2006-01-03,2006-01-03
net_return_5bp_hit_rate,0.5750570304818093,0.4823647984267453,0.5358318584070796,0.4969999999999999,0.5121577380952381,0.5570983284169125
net_return_5bp_max_drawdown,-0.6575510039471215,-0.5241247398743171,-0.7683887698680406,-0.3524807571152301,-0.4906656821611959,-0.862884318183627
net_return_10bp_mean_period_return,0.000875591545768384,-0.0014019436033522238,0.0009694999502093311,-0.0016351669535709362,-0.0012395389939783095,-0.0012889428165852013
net_return_10bp_annualised_return,0.011032453476681638,-0.017664489402238016,0.012215699372637568,-0.020603103614993793,-0.015618191324126698,-0.016240679488973536
net_return_10bp_annualised_volatility,0.2296491262183266,0.17122291282315066,0.27063714647742293,0.07542705270590405,0.1570704023846486,0.29547262515819717
net_return_10bp_sharpe,0.04834178807218613,-0.10820566671767588,0.04697374094377228,-0.2732359504949766,-0.09876176636606235,-0.05360077875084592
net_return_10bp_hit_rate,0.5637492625368731,0.4632949852507375,0.5269567354965585,0.4550855457227139,0.49745138888888885,0.5475634218289087
net_return_10bp_max_drawdown,-0.6775001321954683,-0.5992047348265817,-0.808158099298368,-0.5050241917000431,-0.5418558385237425,-0.8831749768650308
net_return_20bp_mean_period_return,-0.0009170787374303841,-0.004873959428595672,-0.0014672026061200367,-0.00531655760739373,-0.00319424105196328,-0.0032873313312109945
net_return_20bp_annualised_return,-0.011555192091622837,-0.06141188880030546,-0.018486752837112465,-0.06698862585316101,-0.040247437254737325,-0.041420374773258536
net_return_20bp_annualised_volatility,0.22967095241636457,0.171201654755286,0.2706015147718682,0.07544554001492845,0.15705276909354549,0.29529212893013973
net_return_20bp_sharpe,-0.05025286095349524,-0.36508355354064664,-0.06672775114362711,-0.8904243984280056,-0.25661144926527574,-0.13904987770347105
net_return_20bp_hit_rate,0.5448987217305802,0.42181710914454273,0.5120953785644051,0.3717040314650934,0.4738382936507938,0.5300432645034415
net_return_20bp_max_drawdown,-0.7222317421817972,-0.7621310247129062,-0.8684853811981041,-0.7468691679893592,-0.656119686457161,-0.915273025085208
