,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
gross_return_annualised_return,-0.0014062903639347904,0.01089870458526265,0.005028631334150671,0.005257264576994377,-0.0030843938218308928,0.0003249108640516083,0.008409229187642545,0.011768393020214046,0.012848514734551019,0.00953851841310606,0.010886255213096484,-0.0003976109607917473,0.0006141213333926674,0.014872302827074529
gross_return_annualised_volatility,0.07448357720699683,0.03317974636920152,0.09551481464393963,0.012863873921383776,0.047714928456875964,0.09282924682710239,0.08021660768386939,0.11836580027603677,0.0521981194447606,0.14407626948245927,0.020643249347487666,0.07660155541558077,0.14338993430005248,0.11136752623312424
gross_return_sharpe,-0.018880542754097028,0.3284746201489704,0.05264765840667143,0.40868439858192035,-0.06464211351838285,0.0035000915676582593,0.10483152342695666,0.09942392982406564,0.24614899676889979,0.06620464596542971,0.5273518247950325,-0.005190638213997325,0.004282876175307954,0.13354254449310948
gross_return_hit_rate,0.5301685891748004,0.4884649511978705,0.4933451641526176,0.5088731144631766,0.5135314995563443,0.523070097604259,0.5270629991126885,0.5354924578527063,0.4904614019520852,0.4968944099378882,0.515527950310559,0.5175244010647737,0.5232919254658385,0.5270629991126885
gross_return_max_drawdown,-0.306670100048269,-0.08205754929342912,-0.3810632093131907,-0.052037435208330374,-0.19804432518354576,-0.4237439972239677,-0.3185001832842014,-0.41875905461237706,-0.12160517604187848,-0.5252975059303437,-0.06648340806980324,-0.26444298348713524,-0.584051632752013,-0.40782078399095945
gross_return_market_beta,-0.10216601727065788,0.04440182469450297,-0.33529110975378223,0.002812814379904768,-0.05317682021153635,-0.268727043072544,-0.22272652898583886,-0.15673791896172234,0.06838301299906614,-0.49910470041876515,0.009915896988852086,-0.09206778891019683,-0.4184929423513033,-0.31587325501801183
net_return_1bp_annualised_return,-0.0024719699823445088,0.009165273227241755,0.003805321938347963,0.003439801438579583,-0.004210613494845752,-0.0006928770920287168,0.0071099860340128425,0.010240562282861819,0.01048339303184588,0.00771598924200594,0.008400169968554708,-0.0019900382130405556,-0.0010174994342650686,0.012897996070220016
net_return_1bp_annualised_volatility,0.07448434669040199,0.033179620871712764,0.09551583590368694,0.012864025418686038,0.04771525142430186,0.09283028670041286,0.08021740673739003,0.11836686633486915,0.05219772281416957,0.14407752652770242,0.020643354960397504,0.07660218658218865,0.14339105260459362,0.11136835285187455
net_return_1bp_sharpe,-0.033187778267283176,0.2762320058652507,0.039839696761750025,0.2673969715251801,-0.08824460458991201,-0.007463912012518166,0.08863395518741965,0.08651544642476608,0.2008400456312639,0.053554426064653146,0.4069188358515227,-0.025978869557533948,-0.007095975765453532,0.1158138352587022
net_return_1bp_hit_rate,0.5295031055900621,0.4866903283052351,0.49290150842945873,0.5046583850931677,0.5126441881100267,0.521960958296362,0.5261756876663709,0.5350488021295474,0.4884649511978705,0.4964507542147294,0.5093167701863354,0.5168589174800355,0.5228482697426797,0.525732031943212
