,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
factor,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
hypothesised_sign,1,1,-1,1,1,1
first_date,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04
net_return_5bp_annualised_return,0.017993763302941987,0.0030456260620324665,0.023804589744579087,-0.000537364946001052,-0.006474510478280798,-0.0035968039807351944
net_return_5bp_annualised_volatility,0.22909392267120823,0.17180143833765732,0.2711365587978536,0.07439634504296808,0.15676669633770662,0.2956042125788383
net_return_5bp_sharpe,0.0793339985336347,0.012501811137934568,0.0897761156929156,-0.007114870980237803,-0.040182654413471616,-0.010738784282068843
net_return_5bp_hit_rate,0.5696361848574238,0.4864611602753196,0.5310698131760079,0.4949026548672566,0.5085902777777778,0.557470993117011
net_return_5bp_max_drawdown,-0.662189728910344,-0.5261234485511751,-0.7784886420754211,-0.37532761374598483,-0.504983701800553,-0.8625007670931322
net_return_10bp_mean_period_return,0.00046701551715710185,-0.0015126312502761817,0.000623403756783227,-0.0018937311782148756,-0.0015454360148959483,-0.0013583858810076578
net_return_10bp_annualised_return,0.0058843955161794834,-0.019059153753479885,0.00785488733546866,-0.023861012845507436,-0.01947249378768895,-0.01711566210069649
net_return_10bp_annualised_volatility,0.22911915581993963,0.171802055255609,0.27114302313898464,0.07442593474722484,0.15674930988475283,0.29556416079793146
net_return_10bp_sharpe,0.026348913432828407,-0.11689563672960104,0.030823271455541527,-0.3222177725846065,-0.1236256921599858,-0.05655287275947942
net_return_10bp_hit_rate,0.558102261553589,0.46671681415929206,0.5221927236971485,0.4532074729596854,0.49477976190476197,0.5488200589970502
net_return_10bp_max_drawdown,-0.6856052174455145,-0.6058404498024492,-0.818127910897673,-0.5235022572116161,-0.5581815286222483,-0.8844178308541173
net_return_20bp_mean_period_return,-0.0014551063537575812,-0.005021326459087667,-0.001908295038313665,-0.005595897511469855,-0.0036086079687702574,-0.0035042363762396106
net_return_20bp_annualised_return,-0.018334340057345522,-0.0632687133845046,-0.024044517482752173,-0.07050830864452018,-0.04546846040650525,-0.04415337834061908
net_return_20bp_annualised_volatility,0.22917294131752794,0.1718056314100693,0.27115891335585823,0.07448924480008494,0.15671755967601306,0.29548826093354263
