,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
factor,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
hypothesised_sign,1,1,-1,1,1,1
first_date,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04
net_return_5bp_mean_period_return,0.0016132039562444804,0.0002624642858928483,0.002263783857707309,-8.912346835010933e-06,-0.00047319713340861994,-7.983748401317797e-06
net_return_5bp_annualised_return,0.020326369848680453,0.0033070500022498875,0.02852367660711209,-0.00011229557012113808,-0.005962283880948613,-0.00010059522985660426
net_return_5bp_annualised_volatility,0.22966440786738357,0.17198586591146373,0.2714685714916164,0.074761011278194,0.1572700544927954,0.2962541750748724
net_return_5bp_sharpe,0.08926072098506166,0.014174828079627808,0.10706158486042572,-0.0014144636466633443,-0.036922983074792644,0.0010589703129496946
net_return_5bp_hit_rate,0.5705250737463128,0.48535201573254677,0.5324001966568338,0.4960137659783677,0.5094871031746031,0.5581356932153393
net_return_5bp_max_drawdown,-0.659334140182597,-0.5255661204039725,-0.7706440071967255,-0.3767774795042372,-0.5028437912229956,-0.8600809802711666
net_return_10bp_mean_period_return,0.0006522044791703638,-0.001491809334838105,0.000998166070505341,-0.0018599567178892548,-0.0015047857639619168,-0.0010807819424041916
net_return_10bp_annualised_return,0.008217776437546585,-0.018796797618960123,0.012576892488367297,-0.02343545464540461,-0.018960300625920152,-0.013617852474292817
net_return_10bp_annualised_volatility,0.22968945519551204,0.17198620794468855,0.27147525323178234,0.0747907962028422,0.15725259640770375,0.2962159483959068
net_return_10bp_sharpe,0.036406130227004424,-0.11508784315174432,0.04819557856796704,-0.31497323719100956,-0.120093512768045,-0.044647687910944284
net_return_10bp_hit_rate,0.5594375614552606,0.46649754178957714,0.5239695181907571,0.4540924287118978,0.4958948412698413,0.5505889872173058
net_return_10bp_max_drawdown,-0.6823554958978912,-0.6054538598213239,-0.8116260771089662,-0.5236994766806345,-0.5560667649198912,-0.8820820362813606
net_return_20bp_mean_period_return,-0.0012697944749778675,-0.005000356576300011,-0.001533069503898594,-0.005562045459997741,-0.0035679630250685093,-0.003226378330409939
net_return_20bp_annualised_return,-0.01599941038472113,-0.06300449286138014,-0.019316675749122283,-0.07008177279597154,-0.04495633411586322,-0.04065236696316524
